id	code	country	Indicator	edits	gdpedits	population	editspopulation	citations	fsize	links
740	SUR	suriname	5298787878.78788	3499	1514372.07167	539276	0.00648832879638627	156	1635993	4679
196	CYP	cyprus	21911444503.4519	7487	2926598.7049	1141166	0.00656083339321361	860	4993330	13832
328	GUY	guyana	2990128820.97983	5332	560789.35127	799613	0.0066682257542086	569	3495270	9188
132	CPV	cape verde	1879402553.60154	3397	553253.62190	498897	0.00680902069966346	97	1324986	3651
44	BHS	bahamas	8420000000	2928	2875683.06010929	377374	0.00775888110998638	400	2513540	6910
233	EST	estonia	24880264958.1187	10638	2338810.3928	1317997	0.00807133855388138	981	5722888	17295
96	BRN	brunei	16111135788.9616	3791	4249837.9818	417784	0.00907406698198112	491	3348866	9852
462	MDV	maldives	2299843167.3684	3733	616084.4274	345023	0.0108195685505024	178	1780819	5626
442	LUX	luxembourg	60130847623.6353	5904	10184764.1639	543360	0.0108657243816254	445	4297239	12666
84	BLZ	belize	1624294250	4068	399285.705506391	331900	0.0122567038264538	414	3294506	10922
548	VUT	vanuatu	828237181.13311	3116	265801.40601	252763	0.0123277536664781	265	2451779	7239
499	MNE	montenegro	4416083089.99204	8007	551527.79942	621383	0.01288577254286	1239	6874308	19854
662	LCA	saint lucia	1335764111.11111	2529	528178.77070	182273	0.0138747922072935	150	1856218	4866
52	BRB	barbados		4764	0	284644	0.0167366956619497	342	2542869	7487
470	MLT	malta	9642326075.41158	7229	1333839.54564	423374	0.0170747377023624	685	4545131	14276
882	WSM	samoa	801916057.595518	3563	225067.655794	190372	0.0187159876452419	209	1577359	4175
583	FSM	micronesia	316245700	2459	128607.442049614	103549	0.0237472114651035	159	1195659	3795
690	SYC	seychelles	1443345214.37698	2135	676039.91306	89173	0.0239422246644164	66	1450952	4500
308	GRD	grenada	835581688.946799	2675	312366.986522	105897	0.0252603945343116	124	1579737	4471
670	VCT	saint vincent and the grenadines	709358185.185185	2824	251189.159060	109373	0.0258199007067558	47	1275427	3160
296	KIR	kiribati	168951535.045376	3021	55925.698459	102351	0.0295160770290471	112	990189	3050
776	TON	tonga	466259084.092744	3156	147737.352374	105323	0.0299649649174444	155	1499371	3416
352	ISL	iceland	15330057867.1487	9839	1558091.0527	323764	0.0303894194536761	744	5735302	17749
28	ATG	antigua and barbuda	1200587518.51852	2938	408641.08867	89985	0.0326498860921265	55	1282394	3375
212	DMA	dominica	516666666.666667	2608	198108.384458	72003	0.0362207130258461	92	1002182	2597
20	AND	andorra		3176	0	79218	0.0400918983059406	394	2196134	6844
584	MHL	marshall islands	190914600	2336	81727.1404109589	52634	0.0443819584299122	97	1014048	3239
659	KNA	saint kitts and nevis	765870666.666667	3225	237479.276486	54191	0.0595117270395453	59	1396862	3739
438	LIE	liechtenstein		2398	0	36925	0.0649424509140149	175	1092252	2825
674	SMR	san marino		2764	0	31448	0.0878911218519461	66	802513	1998
492	MCO	monaco		4186	0	37831	0.110649996034998	288	2060126	5928
585	PLW	palau	247043400	4287	57626.1721483555	20918	0.204943111196099	120	1516509	4406
798	TUV	tuvalu	38322359.5288666	2861	13394.7429321	9876	0.289692183070069	925	3622703	8914
